Name,Chemical formula,m/z,HMDB,KEGG,PubChem,ChEBI,MetLin,Chemical sub class,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,spec_id
Mannitol 1-phosphate,C6H15O9P,261.0376,HMDB0001530,C00644,130418,16298,6302,Monosaccharide phosphates,,,,,72fcd6e0-3f57-4759-95cc-3c754f0c0597
Inosine,C10H12N4O5,267.0729,HMDB0000195,C00294,6021,17596,84,Purine ribonucleosides,,,,,7621871b-df27-450d-b6df-ecf1c970ea34
Linoleic acid,C18H32O2,279.2324,HMDB0000673,C01595,5280450,17351,191,Unsaturated FA,,,,,76dde60a-e9c7-4ba3-9348-51b98c9ba0f5
Oleic acid,C18H34O2,281.2481,HMDB0000207,C00712,445639,16196,190,Unsaturated FA,,,,,78558a1a-2cb0-4ab7-a99c-4c5c78f7a52d
Guanosine,C10H13N5O5,282.0841,HMDB0000133,C00387,6802,16750,87,Purine ribonucleosides,,,,,795f7ad9-7c8b-431e-8c81-d3743d6a96af
Stearic acid,C18H36O2,283.2637,HMDB0000827,C01530,5281,28842,189,Saturated FA,,,,,79c30cbd-851a-4da7-a40b-7014bc52a222
Arachidonic acid,C20H32O2,303.2324,HMDB0001043,C00219,444899,15843,193,Unsaturated FA,,,,,81e0733b-d96b-4268-b58a-44d78de5ed0f
Glutathione,C10H17N3O6S,306.076,HMDB0000125,C00051,124886,16856,44,Tripeptides,,,,,82509820-07d1-4e38-a9ff-f58b12843137
N-Acetylneuraminic acid,C11H19NO9,308.0985,HMDB0000230,C19910,445063,45744,3321,Sugar acids,,,,,83668a22-b088-470d-943d-925177b40a3e
Cytidine monophosphate,C9H14N3O8P,322.0443,HMDB0000095,C00055,6131,17361,5143,Pyrimidine rNMP,,,,,83b7bac8-7937-4f63-b996-5e3e9c8dc380
Uridine diphosphate glucuronic acid,C15H22N2O18P2,579.027,HMDB0000935,C00167,17473,17200,5884,Pyrimidine rNDP,,,,,85eae0e5-69ed-4551-b4b7-1f7c8104a601
Docosahexaenoic acid,C22H32O2,327.2324,HMDB0002183,C06429,445580,28125,3457,Unsaturated FA,,,,,88312b66-f84c-4380-8593-7bc228105e93
Cyclic AMP,C10H12N5O6P,328.0447,HMDB0000058,C00575,6076,17489,5120,Purine rNMP,,,,,8d2b463b-f41f-41dd-9e52-9717ffd6dd1d
Fructose 1_6-bisphosphate,C6H14O12P2,338.9885,HMDB0001058,C00354,10267,28013,147,Monosaccharide phosphates,,,,,8d570913-d74d-4ece-9e36-b222145a0f40
Adenosine monophosphate,C10H14N5O7P,346.0553,HMDB0000045,C00020,6083,16027,5111,Purine rNMP,,,,,8e2c2a98-daa0-4595-b2ce-54a96cf53546
Inosinic acid,C10H13N4O8P,347.0395,HMDB0000175,C00130,8582,17202,5196,Purine rNMP,,,,,8e3b3d47-886e-4f17-938e-0d43b3e513f7
Guanosine monophosphate,C10H14N5O8P,362.0502,HMDB0001397,C00144,6804,17345,6216,Purine rNMP,,,,,9008a962-5141-4a21-9936-606c14b873d9
Lithocholic acid,C24H40O3,375.2899,HMDB0000761,C03990,9903,16325,209,C24 Bile acids,,,,,91052c97-a916-4dea-b487-4a65e45c35c8
S-Adenosylhomocysteine,C14H20N6O5S,383.114,HMDB0000939,C00021,439155,16680,296,Other purines,,,,,910aaf70-48ef-49d1-be3e-098ad1f1d4f3
Cholesterol,C27H46O,385.347,HMDB0000067,C00187,5997,16113,163,Cholesterols,,,,,940d3866-401d-46b2-8242-57b901a35b35
CDP,C9H15N3O11P2,402.0104,HMDB0001546,C00112,6132,17239,6313,Pyrimidine rNDP,,,,,9428fc5b-416d-4aac-92dc-01f1fabfeb05
GC,,402.9946,,,,,,,,,,,950e4aa3-38df-4ed1-84e1-8882949f387a
LysoPA(0:0/16:0),C19H39O7P,409.236,HMDB0007849,C00416,56960317,-,-,PA,,,,,95ade060-0e4c-4671-b9f3-4434c2f74da6
LysoPA(18:0/0:0),C21H43O7P,437.2671,HMDB0007854,C00416,89567,-,-,PA,,,,,95f89dd6-4956-4288-8267-db25c9de56fd
Cysteine-glutathione disulfide,C13H22N4O8S2,425.0804,HMDB0250707,-,78301986,-,-,,,,,,968d3ad9-dde7-4a94-9d3d-baacb729ab87
ADP,C10H15N5O10P2,426.0216,HMDB0001341,C00008,6022,16761,6175,Purine rNDP,,,,,9747ce3a-35c6-4cc7-8b73-922cbdc18e48
LysoPA(0:0/18:1(9Z)),C21H41O7P,435.2517,HMDB0007851,C00416,56947016,-,-,PA,,,,,9b2af78d-2d48-4771-9f6f-f62543de6b73
LysoPA(0:0/18:0),C21H43O7P,437.2673,HMDB0007850,C00416,76041074,-,-,PA,,,,,9bfdecb6-2564-491a-a5c2-daf2af637a05
Guanosine diphosphate,C10H15N5O11P2,442.0165,HMDB0001201,C00035,8977,17552,6077,Purine rNDP,,,,,9c488bbc-db04-44a8-9d1e-8c77894f38be
CDP-ethanolamine,C11H20N4O11P2,445.0526,HMDB0001564,C00570,123727,16732,3538,Pyrimidine rNDP,,,,,9ddd3c33-f998-4b70-aa24-2cec5cfb6bca
Chenodeoxycholic acid glycine conjugate,C26H43NO5,448.3063,HMDB0000637,C05466,12544,36274,5610,C24 Bile acids,,,,,9f02d7ab-a221-488e-9870-9b2252f72843
LysoPE(P-16:0/0:0),C21H44NO6P,436.2831,HMDB0011152,-,42607469,-,-,O-LPE,,,,,9fdc550f-2ef4-4c8b-ba56-d4c073aa929d
LysoPE(0:0/16:0),C21H44NO7P,452.2782,HMDB0011473,-,53480922,131743,-,LPE,,,,,a17b606a-719d-49e2-a40d-20c3cca2f8ea
LysoPA(20:4(8Z_11Z_14Z_17Z)/0:0),C23H39O7P,457.236,HMDB0114742,-,131821847,-,-,,,,,,a38fa892-4fff-4b43-9a30-de375e58b4f2
LysoPA(20:2(11Z_14Z)/0:0),C23H43O7P,461.2673,HMDB0114758,-,87977098,-,-,,,,,,a3bc9549-36cd-40f5-bdee-2d404c28dcdf
LPA(20:1),C23H45O7P,463.283,-,-,-,-,-,LPA,,,,,a7ba4891-3563-4d70-b455-ef7064009767
Xanthine,C5H4N4O2,151.0256,HMDB0000292,C00385,1188,17712,82,Xanthines,,,,,a8e6ba73-5990-490c-8980-b101bf139180
LysoPE(P-18:0/0:0),C23H48NO6P,464.3146,HMDB0240598,-,42607470,87823,-,O-LPE,,,,,abae9793-808e-43e9-af53-8a89bd5fbd54
LysoPE(0:0/18:2(9Z_12Z)),C23H44NO7P,476.2782,HMDB0011477,-,53480926,76090,-,LPE,,,,,adabfe26-5741-43fd-9e2d-87ec4911a571
LysoPE(0:0/18:1(11Z)),C23H46NO7P,478.2939,HMDB0011475,-,53480924,-,-,LPE,,,,,ae1444aa-8b44-4705-86f5-2719bd0f98e8
LysoPE(0:0/18:0),C23H48NO7P,480.3095,HMDB0011129,-,53480667,133144,-,LPE,,,,,ae667832-0895-4fab-b672-6bd0b65910c5
LysoPA(22:6(4Z_7Z_10Z_13Z_16Z_19Z)/0:0),C25H39O7P,481.236,HMDB0114755,-,25099673,-,-,,,,,,aec3fa71-c110-4fcd-8a63-d3e35f973530
Cytidine triphosphate,C9H16N3O14P3,481.9767,HMDB0000082,C00063,6176,17677,5136,Pyrimidine rNTP,,,,,aff596aa-8aff-479f-a8dc-9a3957e1b0f7
Urocanic acid,C6H6N2O2,137.0351,HMDB0000301,C00785,736715,30817,298,Imidazole alkaloids,,,,,b0cdeab7-7936-45cc-9e2f-ae184356fbb7
LysoPA(22:4(7Z_10Z_13Z_16Z)/0:0),C25H43O7P,485.2673,HMDB0114752,-,87978099,-,-,,,,,,b133cb87-7d5b-4dac-9fe0-441534f610ae
LysoPE(0:0/20:5(5Z_8Z_11Z_14Z_17Z)),C25H42NO7P,498.2626,HMDB0011489,-,53480938,-,-,LPE,,,,,b199938b-5473-4e12-9391-82d2a5cd9518
Tetrahydrocortisol,C21H34O5,365.2328,HMDB0000949,C05472,387316,16525,5897,C21 Steroids,,,,,b58d8338-ca7a-4361-84df-60ac8fbfa067
LysoPE(0:0/20:4(5Z_8Z_11Z_14Z)),C25H44NO7P,500.2782,HMDB0011487,-,53480936,72741,-,LPE,,,,,b67f3662-111d-463d-bb3c-5146214eb5e8
LysoPE(0:0/20:3(11Z_14Z_17Z)),C25H46NO7P,502.2939,HMDB0011484,-,53480933,-,-,LPE,,,,,b6af1c3b-8b63-4cc4-a3a5-c926cce162b8
LysoPE(0:0/20:2(11Z_14Z)),C25H48NO7P,504.3095,HMDB0011483,-,53480932,131692,-,LPE,,,,,b73e4652-536e-4d62-ac3a-81ce8c233503
Adenosine triphosphate,C10H16N5O13P3,505.9879,HMDB0000538,C00002,5957,15422,5523,Purine rNTP,,,,,ba885946-4c85-4dd9-a272-f0401f146660
LysoPE(0:0/20:1(11Z)),C25H50NO7P,506.3252,HMDB0011482,-,53480931,-,-,LPE,,,,,bbe23251-f816-4448-b5f0-32efc09b1c6a
LysoPS(18:0/0:0),C24H48NO9P,524.2991,HMDB0240606,-,42607474,85403,-,LPS,,,,,bd166274-5d03-4c29-87da-f800f580db02
LysoPE(0:0/20:0),C25H52NO7P,508.3408,HMDB0011481,-,53480930,131691,-,LPE,,,,,bd84a5d2-97ad-4595-aae7-c57d8e283640
LPG(18:1),C24H47O9P,509.2885,-,-,-,-,-,LPG,,,,,bdc39e3b-5b62-4b0f-a8d5-3bee7716fd19
PA(23:2),,517.2936,,,,,,,,,,,bdde127b-2317-428c-a229-0cca870bd1b1
PA(23:1+D43:D74),,519.3092,,,,,,,,,,,bf5ef01b-9308-4e44-936d-15df0e8a6fa3
Guanosine triphosphate,C10H16N5O14P3,521.9829,HMDB0001273,C00044,6830,15996,6128,Purine rNTP,,,,,c0624e76-2c7a-42e1-b210-b5b84fceb959
LPS(18:1),C24H46NO9P,522.2837,-,-,-,-,-,LPS,,,,,c27fbbb7-8732-42af-9d78-2db22f600c10
LysoPE(0:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),C27H44NO7P,524.2782,HMDB0011496,-,53480945,72749,-,LPE,,,,,c45e5daf-69bc-4039-a8dd-8c434357e772
LPS(18:0),C24H48NO9P,524.2994,-,-,-,-,-,LPS,,,,,c51e09ea-5839-431f-a1cb-16a7a30bd91a
LysoPE(0:0/22:5(4Z_7Z_10Z_13Z_16Z)),C27H46NO7P,526.2939,HMDB0011494,-,53480943,-,-,LPE,,,,,c53aa0b9-c3dc-42cc-ba8a-d6ceb7a4a5c1
LysoPE(0:0/22:4(7Z_10Z_13Z_16Z)),C27H48NO7P,528.3095,HMDB0011493,-,53480942,-,-,LPE,,,,,c5faef70-e96e-46ef-888e-1c0d98726c32
LysoPE(0:0/22:2(13Z_16Z)),C27H52NO7P,532.3408,HMDB0011492,-,53480941,-,-,LPE,,,,,c727b1c3-1cdb-4319-b7f3-15ca2c36432b
LysoPE(0:0/22:1(13Z)),C27H54NO7P,534.3565,HMDB0011491,-,53480940,-,-,LPE,,,,,c7357a7f-2d22-45e3-b4ce-d26faebc9f0f
Cyclic ADP-ribose,C15H21N5O13P2,540.053,HMDB0249529,-,22062770,-,-,Purine ribonucleosides,,,,,c742f724-f728-4c93-a62f-005a692cb81e
PA(25:1),C28H53O8P,547.3405,-,-,-,-,-,PA,,,,,c7baa5da-bb25-4c8d-bfc0-445465d6f665
PE(23:6),,552.2732,,,,,,,,,,,c91db800-20c8-461c-872d-bd6f9464af02
LPE(24:5),C29H50NO7P,554.3252,-,-,-,-,-,LPE,,,,,ca531b7e-a9d4-406f-be2b-a4d3f310a167
LPG(22:6),C28H45O9P,555.2728,-,-,-,-,-,LPG,,,,,cb3354ca-dc6c-4ce6-8400-f3401f98044b
LPE(24:4),C29H52NO7P,556.3408,-,-,-,-,-,LPE,,,,,cbd993f3-c204-4b97-be3a-ea1b7274e90c
Uridine 5'-diphosphate,C9H14N2O12P2,402.9949,HMDB0000295,C00015,6031,17659,-,Pyrimidine rNDP,,,,,cdec0023-47e8-482e-bd57-f6c79fc1dca1
LPS(22:6),C28H44NO9P,568.2681,-,-,-,-,-,LPS,,,,,cdfcffa3-012a-4893-b5c0-72338aabe050
LPI(16:0),C25H49O12P,571.2889,-,-,-,-,-,LPI,,,,,d263aec5-7ebf-42d7-ac08-b2fc410e9ecc
Uridine diphosphate glucose,C15H24N2O17P2,565.0478,HMDB0000286,C00029,8629,46229,5278,Pyrimidine rNDP,,,,,d8b31014-108f-4bbe-bb55-ad3a46766145
ADP-glucose,C16H25N5O15P2,588.0748,HMDB0006557,C00498,16500,15751,-,Purine rNDP,,,,,da024c8a-c2ab-45f2-be65-d0fb1b25ac8a
LPI(18:1),C27H51O12P,597.3045,-,-,-,-,-,LPI,,,,,da0bf816-6432-433d-adbe-02a2e91f46b3
LysoPI(0:0/18:0),C27H53O12P,599.3202,HMDB0061704,-,-,-,-,LPI,,,,,dac936be-ae10-4928-bb3b-507ebdb9f18c
Oxidized glutathione,C20H32N6O12S2,611.1443,HMDB0003337,C00127,65359,17858,6893,,,,,,dd1bb3db-7e35-47a5-ba95-4046ac11a29d
Heme,C34H32FeN4O4,615.1695,HMDB0003178,C00032,26945,17627,3680,Metalloporphyrins,,,,,dd5828fd-5406-4999-bca3-872b643e27aa
LPI(20:4),C29H49O12P,619.2889,-,-,-,-,-,LPI,,,,,de71cf66-b93f-449d-b1a1-779ba3033952
PA(16:0/16:0),C35H69O8P,647.4657,HMDB0000674,C00416,446066,73246,5644,PA,,,,,e1df2140-d01c-4f09-806f-e220f4c7e8ae
PA(15:0/18:0),C36H71O8P,661.4814,HMDB0114814,-,52929506,-,-,PA,,,,,e43edff5-5b91-485a-bd26-a7bef996ddce
PA(16:0/18:2(9Z_12Z)),C37H69O8P,671.4657,HMDB0007860,C00416,9547167,73259,-,PA,,,,,e5eaa4db-3825-4cf0-b04d-5989419c4c85
PA(16:0/18:1(11Z)),C37H71O8P,673.4814,HMDB0007858,C00416,9547158,89530,-,PA,,,,,e6065756-8be1-44b7-8771-5fdfaf945a50
PA(14:0/20:0),C37H73O8P,675.497,HMDB0114783,-,52929515,-,-,PA,,,,,e66c98dd-9c9b-4f8f-9fad-217f0e7fdcd9
PA(20:1(11Z)/15:0),C38H73O8P,687.497,HMDB0115093,-,52929123,-,-,PA,,,,,e6a24399-741b-4eac-b32e-66dc8538de7e
PA(14:0/22:4(7Z_10Z_13Z_16Z)),C39H69O8P,695.4657,HMDB0114790,-,52928699,-,-,PA,,,,,e811a5d8-ab4d-487e-9676-097ec346792e
PA(14:1(9Z)/22:2(13Z_16Z)),C39H71O8P,697.4814,HMDB0114805,-,52928727,-,-,PA,,,,,e8f9eb9b-1cf9-47e2-89d0-7a5ddd110073
PA(18:0/18:2(9Z_12Z)),C39H73O8P,699.497,HMDB0007861,C00416,24779559,77248,-,PA,,,,,e94ae940-d631-491e-858f-615f5ad10b60
PA(14:0/22:1(13Z)),C39H75O8P,701.5127,HMDB0114789,-,131821866,-,-,PA,,,,,e95ac875-a021-487d-b3ad-252643cd65cb
PE(P-34:0)/LPE(34:1),,702.5443,,,,,,,,,,,ea1a79e5-0514-4308-ad3d-7778af9843ae
PE(14:0/20:2(11Z_14Z)),C39H74NO8P,714.5079,HMDB0008835,C00350,52924121,-,-,PE,,,,,eaab8b70-3b7d-4ccc-9788-d14a56a905c0
PA(15:0/22:1(13Z)),C40H77O8P,715.5283,HMDB0114825,-,131821879,-,-,PA,,,,,eba5ead1-4fdb-46ce-8708-22aa8c92d665
PE(18:1(11Z)/16:0),C39H76NO8P,716.5245,HMDB0009022,C00350,53479621,-,-,PE,,,,,ec13e2f2-53b6-4568-a1f0-b9dfd97508a9
PS(15:0/16:1(9Z)),C37H70NO10P,718.4664,HMDB0112282,-,52926023,-,-,PS,,,,,ecd0e72f-e35b-4c36-a932-97d4ce580ff0
3b_5a_6b-Cholestanetriol,C27H48O3,419.3525,HMDB0003990,C05425,5326793,73006,6997,Cholesterols,,,,,eddb89a0-1eae-47c1-8995-abd0f6a1e8b8
PA(16:0/22:6(4Z_7Z_10Z_13Z_16Z_19Z)),C41H69O8P,719.4657,HMDB0114849,-,24779561,83785,-,PA,,,,,efbab067-1512-4b78-888a-ab661ed78dc6
PA(16:0/22:5(4Z_7Z_10Z_13Z_16Z)),C41H71O8P,721.4814,HMDB0114847,-,131821886,-,-,PA,,,,,f0a77588-3719-4c27-ab89-8750872e290f
PG(16:0/16:0),C38H75O10P,721.5022,HMDB0010570,-,446440,73205,-,PG,,,,,f186c173-19f2-448f-b8b1-d005516b8eb9
PA(16:0/22:4(7Z_10Z_13Z_16Z)),C41H73O8P,723.497,HMDB0114846,-,52929556,-,-,PA,,,,,f41de2f1-9b1e-459e-a3b0-ac8f61ae9377
PE(18:2(9Z_12Z)/18:1(9Z)),C41H76NO8P,724.5286,HMDB0009092,C00350,52924364,-,-,PE,,,,,f566c8ce-b9e4-4cd9-b4cf-2577089d3875
PA(16:1(9Z)/22:2(13Z_16Z)),C41H75O8P,725.5127,HMDB0114866,-,52928815,-,-,PA,,,,,f7ee1dc7-1476-4945-9e30-5cd701e45c58
PA(14:1(9Z)/24:1(15Z)),C41H77O8P,727.5283,HMDB0114811,-,131821876,-,-,PA,,,,,f84b5e75-1c62-4ea8-8397-43c9cbca7645
PA(14:0/24:1(15Z)),C41H79O8P,729.544,HMDB0114794,-,131821869,-,-,PA,,,,,f8572225-a70e-4d8a-8b51-774dfe676d26
PE(O-20:0/16:0)*,C41H84NO7P,732.591,HMDB0011348,-,52925026,-,-,O-PE,,,,,fa863dde-6634-4255-a799-3a79528ff43c
PE(O-20:0/16:0),C41H84NO7P,730.5756,HMDB0011348,-,52925026,-,-,O-PE,,,,,fab6825a-09a7-4808-a2de-0575df16f18e
PE(16:0/20:4(5Z_8Z_11Z_14Z)),C41H74NO8P,738.5076,HMDB0008937,C00350,9546800,73009,-,PE,,,,,fb922874-2fe7-4abb-95ca-2d14b6079849
PE(14:0/22:4(7Z_10Z_13Z_16Z)),C41H74NO8P,738.5079,HMDB0008844,C00350,52924126,-,-,PE,,,,,fdac0316-752d-40bd-81f3-0a0a6aea588d
PE(14:1(9Z)/22:2(13Z_16Z)),C41H76NO8P,740.5236,HMDB0008876,C00350,52924154,-,-,PE,,,,,feead47e-382f-421c-902b-b2ae4ed61f18
PE(18:1(11Z)/18:2(9Z_12Z)),C41H76NO8P,740.5244,HMDB0009027,C00350,53479626,-,-,PE,,,,,ffd313da-722b-4672-8c42-1877ca1fcd1f
